symbol,timestamp,open,high,low,close,volume,trade_index
SPY,2025-11-12T08:00:00Z,684.03,685.73,683,685.35,103683,1
SPY,2025-11-12T08:05:00Z,685.37,685.54,681.44,685.47,24688,2
SPY,2025-11-12T08:10:00Z,685.46,685.48,685.35,685.41,11870,3
SPY,2025-11-12T08:15:00Z,685.45,685.52,685.3,685.3,6612,4
SPY,2025-11-12T08:20:00Z,685.32,685.38,685.15,685.21,16283,5
SPY,2025-11-12T08:25:00Z,685.21,685.27,685.09,685.16,11523,6
SPY,2025-11-12T08:30:00Z,685.16,685.22,685.07,685.105,8285,7
SPY,2025-11-12T08:35:00Z,685.12,685.38,683.74,685.24,20414,8
SPY,2025-11-12T08:40:00Z,685.235,685.4,685.14,685.19,11972,9
SPY,2025-11-12T08:45:00Z,685.14,685.27,683,685.23,20396,10
SPY,2025-11-12T08:50:00Z,685.25,685.4,685.225,685.32,13766,11
SPY,2025-11-12T08:55:00Z,685.335,685.38,685.19,685.23,4863,12
SPY,2025-11-12T09:00:00Z,685.22,685.24,684.98,685.04,15478,13
SPY,2025-11-12T09:05:00Z,685.03,685.05,684.88,684.98,9806,14
SPY,2025-11-12T09:10:00Z,684.96,685.1,684.93,685.03,14465,15
SPY,2025-11-12T09:15:00Z,685.01,685.1,684.9805,685.05,11668,16
SPY,2025-11-12T09:20:00Z,685.05,685.2,684.92,685.11,9640,17
SPY,2025-11-12T09:25:00Z,685.09,685.17,684.77,684.82,36454,18
SPY,2025-11-12T09:30:00Z,684.79,684.87,683.935,684.23,1581912,19
SPY,2025-11-12T09:35:00Z,684.23,684.96,684.19,684.805,1161040,20
SPY,2025-11-12T09:40:00Z,684.815,684.915,684.08,684.16,981297,21
SPY,2025-11-12T09:45:00Z,684.16,684.52,683.18,683.32,1436060,22
SPY,2025-11-12T09:50:00Z,683.3,683.94,683.16,683.535,1229562,23
SPY,2025-11-12T09:55:00Z,683.54,683.8,683.12,683.735,754490,24
SPY,2025-11-12T10:00:00Z,683.73,684.27,683.56,683.945,932414,25
SPY,2025-11-12T10:05:00Z,683.94,684.14,683.49,684.045,677114,26
SPY,2025-11-12T10:10:00Z,684.04,684.15,683.05,683.14,727926,27
SPY,2025-11-12T10:15:00Z,683.14,683.4,682.93,683.08,752728,28
SPY,2025-11-12T10:20:00Z,683.08,683.39,682.94,682.975,434786,29
SPY,2025-11-12T10:25:00Z,683.01,683.48,682.81,683.195,716060,30
SPY,2025-11-12T10:30:00Z,683.2,683.2599,682.52,682.545,754742,31
SPY,2025-11-12T10:35:00Z,682.55,682.765,681.7955,682.715,967996,32
SPY,2025-11-12T10:40:00Z,682.715,683.09,682.6,682.84,592256,33
SPY,2025-11-12T10:45:00Z,682.85,683.13,682.465,682.6,489969,34
SPY,2025-11-12T10:50:00Z,682.61,682.74,682.0803,682.14,414471,35
SPY,2025-11-12T10:55:00Z,682.16,682.64,681.92,682.35,564088,36
SPY,2025-11-12T11:00:00Z,682.33,682.49,682.001,682.03,517899,37
SPY,2025-11-12T11:05:00Z,682.02,682.32,681.82,681.845,487075,38
SPY,2025-11-12T11:10:00Z,681.86,681.89,681.14,681.465,819933,39
SPY,2025-11-12T11:15:00Z,681.4605,682.09,681.4605,682,578810,40
SPY,2025-11-12T11:20:00Z,682.02,682.2099,681.66,681.72,397814,41
SPY,2025-11-12T11:25:00Z,681.73,682.52,681.7,682.41,546685,42
SPY,2025-11-12T11:30:00Z,682.4,682.94,682.09,682.43,683390,43
SPY,2025-11-12T11:35:00Z,682.44,683.01,682.38,682.55,500662,44
SPY,2025-11-12T11:40:00Z,682.57,682.7113,682.08,682.12,381264,45
SPY,2025-11-12T11:45:00Z,682.12,682.51,680.945,681.31,659963,46
SPY,2025-11-12T11:50:00Z,681.3,682.0293,681.3,681.52,587828,47
SPY,2025-11-12T11:55:00Z,681.52,682.25,681.49,681.76,447662,48
SPY,2025-11-12T12:00:00Z,681.76,681.97,681.54,681.94,442263,49
SPY,2025-11-12T12:05:00Z,681.96,682.5,681.94,682.16,462022,50
SPY,2025-11-12T12:10:00Z,682.15,682.4501,681.76,682.4099,441621,51
SPY,2025-11-12T12:15:00Z,682.4,682.8,681.79,681.985,645744,52
SPY,2025-11-12T12:20:00Z,681.99,682.76,681.95,682.45,1101022,53
SPY,2025-11-12T12:25:00Z,682.47,682.69,682.23,682.47,240846,54
SPY,2025-11-12T12:30:00Z,682.47,682.75,682.38,682.7,388133,55
SPY,2025-11-12T12:35:00Z,682.695,683.64,682.6544,683.49,577731,56
SPY,2025-11-12T12:40:00Z,683.485,683.85,683.32,683.36,595796,57
SPY,2025-11-12T12:45:00Z,683.38,683.69,682.94,683.03,561951,58
SPY,2025-11-12T12:50:00Z,683.02,683.155,682.59,683.0548,407282,59
SPY,2025-11-12T12:55:00Z,683.065,683.77,682.94,683.63,347235,60
SPY,2025-11-12T13:00:00Z,683.64,683.81,683.52,683.715,438622,61
SPY,2025-11-12T13:05:00Z,683.7003,683.73,683.11,683.14,368411,62
SPY,2025-11-12T13:10:00Z,683.15,683.725,683.05,683.67,276940,63
SPY,2025-11-12T13:15:00Z,683.67,683.93,683.58,683.8,560053,64
SPY,2025-11-12T13:20:00Z,683.8,683.8,683.37,683.53,333357,65
SPY,2025-11-12T13:25:00Z,683.54,683.76,683.13,683.495,458704,66
SPY,2025-11-12T13:30:00Z,683.5,683.82,683.4,683.67,463483,67
SPY,2025-11-12T13:35:00Z,683.68,683.96,683.55,683.9494,538435,68
SPY,2025-11-12T13:40:00Z,683.94,684.1499,683.58,683.62,454695,69
SPY,2025-11-12T13:45:00Z,683.62,683.69,683.26,683.365,311788,70
SPY,2025-11-12T13:50:00Z,683.37,683.76,683.32,683.6,248409,71
SPY,2025-11-12T13:55:00Z,683.61,683.805,683.53,683.63,250892,72
SPY,2025-11-12T14:00:00Z,683.64,683.8,683.415,683.58,563228,73
SPY,2025-11-12T14:05:00Z,683.58,683.6,683.125,683.57,370440,74
SPY,2025-11-12T14:10:00Z,683.55,683.56,682.95,682.99,476821,75
SPY,2025-11-12T14:15:00Z,682.98,683.05,682.74,682.96,680085,76
SPY,2025-11-12T14:20:00Z,682.96,683.22,682.72,682.84,447171,77
SPY,2025-11-12T14:25:00Z,682.85,683.23,682.48,682.73,421908,78
SPY,2025-11-12T14:30:00Z,682.74,682.81,682.24,682.65,834771,79
SPY,2025-11-12T14:35:00Z,682.65,683.12,682.55,683.01,477149,80
SPY,2025-11-12T14:40:00Z,683,683.2,682.7501,682.9,413670,81
SPY,2025-11-12T14:45:00Z,682.89,683.2,682.78,682.82,426648,82
SPY,2025-11-12T14:50:00Z,682.82,683.12,682.59,683.1,569678,83
SPY,2025-11-12T14:55:00Z,683.1,683.255,682.51,682.81,651778,84
SPY,2025-11-12T15:00:00Z,682.8,682.89,682.34,682.63,522856,85
SPY,2025-11-12T15:05:00Z,682.63,682.66,682.092,682.53,1180721,86
SPY,2025-11-12T15:10:00Z,682.54,682.705,682.42,682.64,524930,87
SPY,2025-11-12T15:15:00Z,682.63,683.02,682.42,683.01,530547,88
SPY,2025-11-12T15:20:00Z,683.01,683.08,682.77,682.955,746679,89
SPY,2025-11-12T15:25:00Z,682.945,683.4099,682.86,683.34,557077,90
SPY,2025-11-12T15:30:00Z,683.34,683.96,683.13,683.825,1040978,91
SPY,2025-11-12T15:35:00Z,683.805,683.875,683.1,683.3675,1001399,92
SPY,2025-11-12T15:40:00Z,683.37,683.76,683.37,683.7,785323,93
SPY,2025-11-12T15:45:00Z,683.7,683.725,683.22,683.3725,1229206,94
SPY,2025-11-12T15:50:00Z,683.38,684.07,683.38,683.49,1915775,95
SPY,2025-11-12T15:55:00Z,683.5,683.59,682.6616,683.33,4927047,96
SPY,2025-11-12T16:00:00Z,683.3,684,682.7018,683.5,3626588,97
SPY,2025-11-12T16:05:00Z,683.53,683.7302,682.7018,683.55,607660,98
SPY,2025-11-12T16:10:00Z,683.38,683.77,683.1212,683.6,3726147,99
SPY,2025-11-12T16:15:00Z,683.58,683.6102,683.1,683.33,631408,100
SPY,2025-11-12T16:20:00Z,683.31,683.449,683.23,683.4,45230,101
SPY,2025-11-12T16:25:00Z,683.37,683.54,683.35,683.51,92001,102
SPY,2025-11-12T16:30:00Z,683.5007,683.5402,683.35,683.39,108160,103
SPY,2025-11-12T16:35:00Z,683.4,683.4899,682.7018,683.48,180144,104
SPY,2025-11-12T16:40:00Z,683.4503,683.54,683.43,683.4812,8111,105
SPY,2025-11-12T16:45:00Z,683.48,683.49,683.3,683.33,12575,106
SPY,2025-11-12T16:50:00Z,683.34,683.37,637.7825,683,19171,107
SPY,2025-11-12T16:55:00Z,683.01,683.38,682.95,683,428740,108
SPY,2025-11-13T08:00:00Z,684.1912,684.95,681.6992,682,109177,109
SPY,2025-11-13T08:05:00Z,682.0402,683.38,681.99,682.1407,10471,110
SPY,2025-11-13T08:10:00Z,682.16,683.38,681.97,682.32,22668,111
SPY,2025-11-13T08:15:00Z,682.31,683.38,681.9692,682.0205,18017,112
SPY,2025-11-13T08:20:00Z,681.9892,682.04,681.465,681.98,67924,113
SPY,2025-11-13T08:25:00Z,681.99,682.06,681.81,681.98,16497,114
SPY,2025-11-13T08:30:00Z,682,684.11,681.01,681.03,66722,115
SPY,2025-11-13T08:35:00Z,681.045,681.32,680.72,681.055,62032,116
SPY,2025-11-13T08:40:00Z,681.07,681.31,680.8692,681.02,45852,117
SPY,2025-11-13T08:45:00Z,681.02,683.38,680.98,681.42,32052,118
SPY,2025-11-13T08:50:00Z,681.405,681.63,681.24,681.49,22271,119
SPY,2025-11-13T08:55:00Z,681.48,681.49,680.79,680.915,45016,120
SPY,2025-11-13T09:00:00Z,680.9,681.1,680.63,680.82,35177,121
SPY,2025-11-13T09:05:00Z,680.82,680.98,679.9497,680.1205,80824,122
SPY,2025-11-13T09:10:00Z,680.13,680.6,679.9395,680.46,73253,123
SPY,2025-11-13T09:15:00Z,680.4297,680.66,680.4,680.43,30527,124
SPY,2025-11-13T09:20:00Z,680.4197,680.81,680.39,680.7682,86389,125
SPY,2025-11-13T09:25:00Z,680.77,681.07,680.1795,680.5,177396,126
SPY,2025-11-13T09:30:00Z,680.5,680.71,679.78,680.06,1783160,127
SPY,2025-11-13T09:35:00Z,680.07,680.21,678.76,678.855,1724491,128
SPY,2025-11-13T09:40:00Z,678.8446,678.98,677.69,677.77,1545793,129
SPY,2025-11-13T09:45:00Z,677.78,678.655,677.53,678.18,1380842,130
